"tf_name","n"
"HNF4A",69
"CTCF",44
"NR1H2::RXRA",34
"RXRG",29
"RXRB",28
"NR2F1",25
"HNF4G",22
"HNF1B",16
"TEAD4",14
"PPARD",12
"HNF1A",11
"NFIB",11
"NFIC",11
"NR3C2",9
"TEAD2",8
"TEAD3",8
"CUX1",5
"KLF14",4
"KLF15",4
"KLF2",4
"ZKSCAN5",4
"ZNF354C",4
"EWSR1-FLI1",3
"KLF1",3
"KLF6",3
"KLF9",3
"PATZ1",3
"PRDM9",3
"SP3",3
"SP4",3
"ZNF148",3
"ZNF281",3
"EGR1",2
"EGR3",2
"EGR4",2
"ETV1",2
"IRF3",2
"KLF10",2
"KLF11",2
"KLF12",2
"KLF16",2
"KLF17",2
"KLF4",2
"KLF5",2
"KLF7",2
"MAZ",2
"NR3C1",2
"POU6F2",2
"RREB1",2
"RUNX2",2
"SP1",2
"SP2",2
"SP5",2
"SP8",2
"SP9",2
"SPIB",2
"SPIC",2
"SREBF1",2
"TBX18",2
"TFAP2C",2
"ZNF257",2
"ZNF460",2
"ZNF530",2
"ARNT2",1
"BACH1",1
"BATF",1
"BATF3",1
"BATF::JUN",1
"BNC2",1
"CDX2",1
"CDX4",1
"CUX2",1
"E2F6",1
"EHF",1
"ELF1",1
"ELF2",1
"ELF3",1
"ELK1",1
"ELK1::HOXA1",1
"ELK1::HOXB13",1
"ELK3",1
"ERF",1
"ERF::FOXI1",1
"ETS1",1
"ETS2",1
"ETV2",1
"ETV3",1
"ETV4",1
"ETV5",1
"ETV5::FOXI1",1
"FEV",1
"FLI1",1
"FOS",1
"FOXD2",1
"FOXD3",1
"FOXE1",1
"FOXJ2::ELF1",1
"FOXO1::ELF1",1
"FOXO1::ELK1",1
"GABPA",1
"GLIS2",1
"GLIS3",1
"HLF",1
"HOXA10",1
"HOXB13",1
"HOXC13",1
"HOXD9",1
"IKZF1",1
"JUNB",1
"MAFF",1
"MAFK",1
"MEF2A",1
"MEIS3",1
"MITF",1
"MLX",1
"MLXIPL",1
"NFATC3",1
"NFATC4",1
"PKNOX1",1
"PLAG1",1
"POU1F1",1
"POU5F1",1
"POU6F1",1
"PRDM1",1
"PRRX2",1
"RUNX3",1
"SNAI1",1
"SOX10",1
"SOX15",1
"SRY",1
"TBR1",1
"TCF12",1
"TFDP1",1
"TFEB",1
"TFEC",1
"THRB",1
"USF1",1
"USF2",1
"VEZF1",1
"ZIM3",1
"ZNF140",1
"ZNF189",1
"ZNF263",1
"ZNF320",1
"ZNF382",1
"ZNF384",1
"ZNF418",1
"ZNF454",1
"ZNF528",1
"ZNF610",1
"ZNF701",1
"ZNF707",1
"ZNF740",1
"ZNF76",1
"ZNF768",1
"ZNF816",1
"ZNF93",1
